Package,Built
abind,3.5.0
animation,3.5.1
assertthat,3.5.1
Athena,3.5.1
AWR.Athena,3.5.1
aws.athena,3.5.1
aws.ec2metadata,3.5.1
aws.s3,3.5.1
aws.ses,3.5.1
aws.signature,3.5.1
backports,3.5.0
base64enc,3.5.0
BH,3.5.0
bigrquery,3.5.1
bindr,3.5.1
bindrcpp,3.5.1
bit,3.5.0
bit64,3.5.0
bitops,3.5.0
blob,3.5.1
brew,3.5.0
broom,3.5.1
callr,3.5.1
caTools,3.5.1
cellranger,3.5.1
chron,3.5.1
classInt,3.5.1
cli,3.5.1
clipr,3.5.1
clisymbols,3.5.1
colorspace,3.5.1
config,3.5.1
cowplot,3.5.1
crayon,3.5.1
crosstalk,3.5.1
curl,3.5.1
data.table,3.5.1
DBI,3.5.1
dbplyr,3.5.1
desc,3.5.1
devtools,3.5.1
dichromat,3.5.0
digest,3.5.1
dplyr,3.5.1
DT,3.5.1
dxd,3.5.1
e1071,3.5.1
esquisse,3.5.1
evaluate,3.5.1
fansi,3.5.1
forcats,3.5.1
forge,3.5.1
formatR,3.5.1
fs,3.5.1
futile.logger,3.5.1
futile.options,3.5.0
gdtools,3.5.1
geosphere,3.5.1
ggmap,3.5.1
ggplot2,3.5.1
ggthemes,3.5.1
gh,3.5.1
git2r,3.5.1
glue,3.5.1
gridExtra,3.5.1
gsubfn,3.5.1
gtable,3.5.1
haven,3.5.1
here,3.5.1
highr,3.5.1
hms,3.5.1
htmltools,3.5.1
htmlwidgets,3.5.1
httpuv,3.5.1
httr,3.5.1
idexxRadar,3.5.1
imdb,3.5.1
ini,3.5.1
janitor,3.5.1
jpeg,3.5.0
jsonlite,3.5.1
keras,3.5.1
knitr,3.5.1
labeling,3.5.0
lambda.r,3.5.1
later,3.5.1
lazyeval,3.5.1
leaflet,3.5.1
listviewer,3.5.1
lubridate,3.5.1
magrittr,3.5.1
mailR,3.5.1
mapdata,3.5.1
mapproj,3.5.1
maps,3.5.1
maptools,3.5.1
mapview,3.5.1
markdown,3.5.1
memoise,3.5.1
mime,3.5.0
miniUI,3.5.1
mnormt,3.5.0
modelr,3.5.1
munsell,3.5.1
odbc,3.5.1
omdbapi,3.5.1
openssl,3.5.1
pander,3.5.1
pillar,3.5.1
pkgbuild,3.5.1
pkgconfig,3.5.1
pkgload,3.5.1
plogr,3.5.1
plyr,3.5.1
png,3.5.0
praise,3.5.1
prettyunits,3.5.1
processx,3.5.1
progress,3.5.1
promises,3.5.1
proto,3.5.1
psych,3.5.1
purrr,3.5.1
R.methodsS3,3.5.0
R.oo,3.5.0
R.utils,3.5.1
r2d3,3.5.1
R6,3.5.1
rapidjsonr,3.5.0
rappdirs,3.5.1
raster,3.5.1
rcmdcheck,3.5.1
RColorBrewer,3.5.0
Rcpp,3.5.1
readr,3.5.1
readxl,3.5.1
rematch,3.5.1
remotes,3.5.1
reprex,3.5.1
repurrrsive,3.5.1
reshape2,3.5.1
reticulate,3.5.1
rgdal,3.5.1
RgoogleMaps,3.5.1
rJava,3.5.0
RJDBC,3.5.1
rjson,3.5.0
rlang,3.5.1
rmarkdown,3.5.1
RODBC,3.5.0
RODBCext,3.5.1
RPresto,3.5.1
rprojroot,3.5.1
RSQLite,3.5.1
rstudioapi,3.5.1
rvest,3.5.1
sas7bdat,3.5.0
satellite,3.5.1
scales,3.5.1
selectr,3.5.1
sessioninfo,3.5.1
sf,3.5.1
shiny,3.5.1
shinyWidgets,3.5.1
skimr,3.5.1
snakecase,3.5.1
sourcetools,3.5.1
sp,3.5.1
sparklyr,3.5.1
spData,3.5.1
sqldf,3.5.1
stars,3.5.1
stringi,3.5.0
stringr,3.5.1
svglite,3.5.1
tensorflow,3.5.1
testthat,3.5.1
tfruns,3.5.1
tibble,3.5.1
tidyr,3.5.1
tidyselect,3.5.1
tidyverse,3.5.1
tigris,3.5.1
tinytex,3.5.1
units,3.5.1
usethis,3.5.1
utf8,3.5.1
uuid,3.5.0
viridis,3.5.1
viridisLite,3.5.1
webshot,3.5.1
whisker,3.5.1
withr,3.5.1
xfun,3.5.1
xml2,3.5.1
xopen,3.5.1
xtable,3.5.1
yaml,3.5.1
zeallot,3.5.1
zoo,3.5.2
translations,3.5.1
